,Unnamed: 0,Scorecard,Team 1,Team 2,Ground,Match Date,Winner,Host_Country,Venue_Team1,Venue_Team2,Innings_Team1,Innings_Team2,year,Day,Margin,Victory
5746,2004,ODI # 2086,India,Australia,Sydney,2004-01-22,Australia,Australia,Away,Home,First,Second,2004,Thursday,2 wickets,batting second
5751,2009,ODI # 2093,India,Australia,Perth,2004-02-01,Australia,Australia,Away,Home,First,Second,2004,Sunday,5 wickets,batting second
5755,2013,ODI # 2097,India,Australia,Melbourne,2004-02-06,Australia,Australia,Away,Home,First,Second,2004,Friday,7 wickets,batting second
5756,2014,ODI # 2098,India,Australia,Sydney,2004-02-08,Australia,Australia,Away,Home,Second,First,2004,Sunday,208 runs,batting first
5770,2028,ODI # 2112,India,Pakistan,Karachi,2004-03-13,India,Pakistan,Away,Home,First,Second,2004,Saturday,5 runs,batting first
5772,2030,ODI # 2114,India,Pakistan,Rawalpindi,2004-03-16,Pakistan,Pakistan,Away,Home,Second,First,2004,Tuesday,12 runs,batting first
5773,2031,ODI # 2115,India,Pakistan,Peshawar,2004-03-19,Pakistan,Pakistan,Away,Home,First,Second,2004,Friday,4 wickets,batting second
5774,2032,ODI # 2116,India,Pakistan,Lahore,2004-03-21,India,Pakistan,Away,Home,Second,First,2004,Sunday,5 wickets,batting second
5775,2033,ODI # 2117,India,Pakistan,Lahore,2004-03-24,India,Pakistan,Away,Home,First,Second,2004,Wednesday,40 runs,batting first
5803,2061,ODI # 2148,India,Sri Lanka,Dambulla,2004-07-18,Sri Lanka,Sri Lanka,Away,Home,Second,First,2004,Sunday,12 runs,batting first
5804,2062,ODI # 2149,India,Bangladesh,Colombo,2004-07-21,India,Sri Lanka,Neutral,Neutral,Second,First,2004,Wednesday,8 wickets,batting second
5808,2066,ODI # 2153,India,Sri Lanka,Colombo,2004-07-27,India,Sri Lanka,Away,Home,First,Second,2004,Tuesday,4 runs,batting first
5810,2068,ODI # 2155,India,Sri Lanka,Colombo,2004-08-01,Sri Lanka,Sri Lanka,Away,Home,Second,First,2004,Sunday,25 runs,batting first
5818,2076,ODI # 2164,India,England,Nottingham,2004-09-01,England,England,Away,Home,First,Second,2004,Wednesday,7 wickets,batting second
5819,2077,ODI # 2165,India,England,The Oval,2004-09-03,England,England,Away,Home,Second,First,2004,Friday,70 runs,batting first
5821,2079,ODI # 2167,India,England,Lord's,2004-09-05,India,England,Away,Home,First,Second,2004,Sunday,23 runs,batting first
5853,2111,ODI # 2199,India,Bangladesh,Chittagong,2004-12-23,India,Bangladesh,Away,Home,First,Second,2004,Thursday,11 runs,batting first
5855,2113,ODI # 2201,India,Bangladesh,Dhaka,2004-12-26,Bangladesh,Bangladesh,Away,Home,Second,First,2004,Sunday,15 runs,batting first
5856,2114,ODI # 2202,India,Bangladesh,Dhaka,2004-12-27,India,Bangladesh,Away,Home,First,Second,2004,Monday,91 runs,batting first
5910,2168,ODI # 2262,India,Sri Lanka,Dambulla,2005-07-30,Sri Lanka,Sri Lanka,Away,Home,First,Second,2005,Saturday,3 wickets,batting second
5913,2171,ODI # 2265,India,Sri Lanka,Dambulla,2005-08-03,Sri Lanka,Sri Lanka,Away,Home,First,Second,2005,Wednesday,4 wickets,batting second
5916,2174,ODI # 2268,India,Sri Lanka,Colombo,2005-08-09,Sri Lanka,Sri Lanka,Away,Home,Second,First,2005,Tuesday,18 runs,batting first
5919,2177,ODI # 2274,India,Zimbabwe,Harare,2005-08-29,India,Zimbabwe,Away,Home,First,Second,2005,Monday,161 runs,batting first
5925,2183,ODI # 2280,India,Zimbabwe,Harare,2005-09-04,India,Zimbabwe,Away,Home,Second,First,2005,Sunday,4 wickets,batting second
5965,2223,ODI # 2324,India,Pakistan,Peshawar,2006-02-06,Pakistan,Pakistan,Away,Home,Second,First,2006,Monday,7 runs,batting first
5968,2226,ODI # 2327,India,Pakistan,Rawalpindi,2006-02-11,India,Pakistan,Away,Home,Second,First,2006,Saturday,7 wickets,batting second
5970,2228,ODI # 2329,India,Pakistan,Lahore,2006-02-13,India,Pakistan,Away,Home,Second,First,2006,Monday,5 wickets,batting second
5972,2230,ODI # 2331,India,Pakistan,Multan,2006-02-16,India,Pakistan,Away,Home,Second,First,2006,Thursday,5 wickets,batting second
5974,2232,ODI # 2333,India,Pakistan,Karachi,2006-02-19,India,Pakistan,Away,Home,Second,First,2006,Sunday,8 wickets,batting second
6016,2274,ODI # 2377,India,West Indies,Kingston,2006-05-18,India,West Indies,Away,Home,Second,First,2006,Thursday,5 wickets,batting second
6018,2276,ODI # 2379,India,West Indies,Kingston,2006-05-20,West Indies,West Indies,Away,Home,Second,First,2006,Saturday,1 run,batting first
6019,2277,ODI # 2380,India,West Indies,Basseterre,2006-05-23,West Indies,West Indies,Away,Home,First,Second,2006,Tuesday,4 wickets,batting second
6020,2278,ODI # 2381,India,West Indies,Port of Spain,2006-05-26,West Indies,West Indies,Away,Home,First,Second,2006,Friday,6 wickets,batting second
6021,2279,ODI # 2382,India,West Indies,Port of Spain,2006-05-28,West Indies,West Indies,Away,Home,Second,First,2006,Sunday,19 runs,batting first
6056,2314,ODI # 2421,India,Australia,Kuala Lumpur,2006-09-22,Australia,Malaysia,Neutral,Neutral,Second,First,2006,Friday,18 runs,batting first
6082,2340,ODI # 2447,India,South Africa,Durban,2006-11-22,South Africa,South Africa,Away,Home,Second,First,2006,Wednesday,157 runs,batting first
6084,2342,ODI # 2449,India,South Africa,Cape Town,2006-11-26,South Africa,South Africa,Away,Home,Second,First,2006,Sunday,106 runs,batting first
6087,2345,ODI # 2452,India,South Africa,Port Elizabeth,2006-11-29,South Africa,South Africa,Away,Home,Second,First,2006,Wednesday,80 runs,batting first
6093,2351,ODI # 2458,India,South Africa,Centurion,2006-12-03,South Africa,South Africa,Away,Home,First,Second,2006,Sunday,9 wickets,batting second
6169,2427,ODI # 2538,India,Bangladesh,Port of Spain,2007-03-17,Bangladesh,West Indies,Neutral,Neutral,First,Second,2007,Saturday,5 wickets,batting second
6173,2431,ODI # 2542,India,Bermuda,Port of Spain,2007-03-19,India,West Indies,Neutral,Neutral,First,Second,2007,Monday,257 runs,batting first
6213,2471,ODI # 2582,India,Bangladesh,Dhaka,2007-05-10,India,Bangladesh,Away,Home,Second,First,2007,Thursday,5 wickets,batting second
6214,2472,ODI # 2583,India,Bangladesh,Dhaka,2007-05-12,India,Bangladesh,Away,Home,First,Second,2007,Saturday,46 runs,batting first
6218,2476,ODI # 2590,India,Ireland,Belfast,2007-06-23,India,Ireland,Away,Home,Second,First,2007,Saturday,9 wickets,batting second
6234,2492,ODI # 2608,India,Scotland,Glasgow,2007-08-16,India,Scotland,Away,Home,Second,First,2007,Thursday,7 wickets,batting second
6237,2495,ODI # 2611,India,England,Southampton,2007-08-21,England,England,Away,Home,Second,First,2007,Tuesday,104 runs,batting first
6239,2497,ODI # 2613,India,England,Bristol,2007-08-24,India,England,Away,Home,First,Second,2007,Friday,9 runs,batting first
6242,2500,ODI # 2616,India,England,Birmingham,2007-08-27,England,England,Away,Home,Second,First,2007,Monday,42 runs,batting first
6243,2501,ODI # 2617,India,England,Manchester,2007-08-30,England,England,Away,Home,First,Second,2007,Thursday,3 wickets,batting second
6244,2502,ODI # 2618,India,England,Leeds,2007-09-02,India,England,Away,Home,First,Second,2007,Sunday,38 runs,batting first
6245,2503,ODI # 2619,India,England,The Oval,2007-09-05,India,England,Away,Home,Second,First,2007,Wednesday,2 wickets,batting second
6246,2504,ODI # 2620,India,England,Lord's,2007-09-08,England,England,Away,Home,First,Second,2007,Saturday,7 wickets,batting second
6297,2555,ODI # 2675,India,Australia,Melbourne,2008-02-10,India,Australia,Away,Home,Second,First,2008,Sunday,5 wickets,batting second
6302,2560,ODI # 2680,India,Australia,Adelaide,2008-02-17,Australia,Australia,Away,Home,Second,First,2008,Sunday,50 runs,batting first
6306,2564,ODI # 2685,India,Australia,Sydney,2008-02-24,Australia,Australia,Away,Home,Second,First,2008,Sunday,18 runs,batting first
6309,2567,ODI # 2688,India,Australia,Sydney,2008-03-02,India,Australia,Away,Home,Second,First,2008,Sunday,6 wickets,batting second
6310,2568,ODI # 2689,India,Australia,Brisbane,2008-03-04,India,Australia,Away,Home,First,Second,2008,Tuesday,9 runs,batting first
6326,2584,ODI # 2706,India,Bangladesh,Dhaka,2008-06-12,India,Bangladesh,Away,Home,Second,First,2008,Thursday,7 wickets,batting second
6334,2592,ODI # 2716,India,Hong Kong,Karachi,2008-06-25,India,Pakistan,Neutral,Neutral,First,Second,2008,Wednesday,256 runs,batting first
6336,2594,ODI # 2717,India,Pakistan,Karachi,2008-06-26,India,Pakistan,Away,Home,Second,First,2008,Thursday,6 wickets,batting second
6340,2598,ODI # 2721,India,Bangladesh,Karachi,2008-06-28,India,Pakistan,Neutral,Neutral,Second,First,2008,Saturday,7 wickets,batting second
6349,2607,ODI # 2730,India,Pakistan,Karachi,2008-07-02,Pakistan,Pakistan,Away,Home,First,Second,2008,Wednesday,8 wickets,batting second
6360,2618,ODI # 2742,India,Sri Lanka,Dambulla,2008-08-18,Sri Lanka,Sri Lanka,Away,Home,First,Second,2008,Monday,8 wickets,batting second
6362,2620,ODI # 2745,India,Sri Lanka,Dambulla,2008-08-20,India,Sri Lanka,Away,Home,Second,First,2008,Wednesday,3 wickets,batting second
6367,2625,ODI # 2750,India,Sri Lanka,Colombo,2008-08-24,India,Sri Lanka,Away,Home,First,Second,2008,Sunday,33 runs,batting first
6371,2629,ODI # 2755,India,Sri Lanka,Colombo,2008-08-27,India,Sri Lanka,Away,Home,First,Second,2008,Wednesday,46 runs,batting first
6372,2630,ODI # 2756,India,Sri Lanka,Colombo,2008-08-29,Sri Lanka,Sri Lanka,Away,Home,Second,First,2008,Friday,112 runs,batting first
6419,2677,ODI # 2806,India,Sri Lanka,Dambulla,2009-01-28,India,Sri Lanka,Away,Home,Second,First,2009,Wednesday,6 wickets,batting second
6423,2681,ODI # 2810,India,Sri Lanka,Colombo,2009-01-31,India,Sri Lanka,Away,Home,First,Second,2009,Saturday,15 runs,batting first
6426,2684,ODI # 2813,India,Sri Lanka,Colombo,2009-02-03,India,Sri Lanka,Away,Home,First,Second,2009,Tuesday,147 runs,batting first
6428,2686,ODI # 2815,India,Sri Lanka,Colombo,2009-02-05,India,Sri Lanka,Away,Home,First,Second,2009,Thursday,67 runs,batting first
6431,2689,ODI # 2818,India,Sri Lanka,Colombo,2009-02-08,Sri Lanka,Sri Lanka,Away,Home,Second,First,2009,Sunday,68 runs,batting first
6433,2691,ODI # 2821,India,New Zealand,Napier,2009-03-03,India,New Zealand,Away,Home,First,Second,2009,Tuesday,53 runs,batting first
6434,2692,ODI # 2823,India,New Zealand,Christchurch,2009-03-08,India,New Zealand,Away,Home,First,Second,2009,Sunday,58 runs,batting first
6435,2693,ODI # 2824,India,New Zealand,Hamilton,2009-03-11,India,New Zealand,Away,Home,First,Second,2009,Wednesday,84 runs,batting first
6436,2694,ODI # 2825,India,New Zealand,Auckland,2009-03-14,New Zealand,New Zealand,Away,Home,First,Second,2009,Saturday,8 wickets,batting second
6463,2721,ODI # 2852,India,West Indies,Kingston,2009-06-26,India,West Indies,Away,Home,First,Second,2009,Friday,20 runs,batting first
6464,2722,ODI # 2853,India,West Indies,Kingston,2009-06-28,West Indies,West Indies,Away,Home,First,Second,2009,Sunday,8 wickets,batting second
6465,2723,ODI # 2854,India,West Indies,Gros Islet,2009-07-03,India,West Indies,Away,Home,Second,First,2009,Friday,6 wickets,batting second
6496,2754,ODI # 2887,India,Sri Lanka,Colombo,2009-09-12,Sri Lanka,Sri Lanka,Away,Home,Second,First,2009,Saturday,139 runs,batting first
6498,2756,ODI # 2889,India,Sri Lanka,Colombo,2009-09-14,India,Sri Lanka,Away,Home,First,Second,2009,Monday,46 runs,batting first
6546,2804,ODI # 2939,India,Bangladesh,Dhaka,2010-01-07,India,Bangladesh,Away,Home,Second,First,2010,Thursday,6 wickets,batting second
6549,2807,ODI # 2942,India,Bangladesh,Dhaka,2010-01-11,India,Bangladesh,Away,Home,Second,First,2010,Monday,6 wickets,batting second
6587,2845,ODI # 2981,India,Zimbabwe,Bulawayo,2010-05-28,Zimbabwe,Zimbabwe,Away,Home,First,Second,2010,Friday,6 wickets,batting second
6592,2850,ODI # 2986,India,Zimbabwe,Harare,2010-06-03,Zimbabwe,Zimbabwe,Away,Home,First,Second,2010,Thursday,7 wickets,batting second
6599,2857,ODI # 2993,India,Bangladesh,Dambulla,2010-06-16,India,Sri Lanka,Neutral,Neutral,Second,First,2010,Wednesday,6 wickets,batting second
6605,2863,ODI # 2999,India,Sri Lanka,Dambulla,2010-06-22,Sri Lanka,Sri Lanka,Away,Home,First,Second,2010,Tuesday,7 wickets,batting second
6607,2865,ODI # 3001,India,Sri Lanka,Dambulla,2010-06-24,India,Sri Lanka,Away,Home,First,Second,2010,Thursday,81 runs,batting first
6638,2896,ODI # 3032,India,Sri Lanka,Dambulla,2010-08-16,India,Sri Lanka,Away,Home,Second,First,2010,Monday,6 wickets,batting second
6643,2901,ODI # 3038,India,Sri Lanka,Dambulla,2010-08-22,Sri Lanka,Sri Lanka,Away,Home,First,Second,2010,Sunday,8 wickets,batting second
6645,2903,ODI # 3040,India,Sri Lanka,Dambulla,2010-08-28,Sri Lanka,Sri Lanka,Away,Home,Second,First,2010,Saturday,74 runs,batting first
6684,2942,ODI # 3079,India,South Africa,Durban,2011-01-12,South Africa,South Africa,Away,Home,Second,First,2011,Wednesday,135 runs,batting first
6685,2943,ODI # 3080,India,South Africa,Johannesburg,2011-01-15,India,South Africa,Away,Home,First,Second,2011,Saturday,1 run,batting first
6687,2945,ODI # 3082,India,South Africa,Cape Town,2011-01-18,India,South Africa,Away,Home,Second,First,2011,Tuesday,2 wickets,batting second
6689,2947,ODI # 3084,India,South Africa,Port Elizabeth,2011-01-21,South Africa,South Africa,Away,Home,Second,First,2011,Friday,48 runs,batting first
6692,2950,ODI # 3087,India,South Africa,Centurion,2011-01-23,South Africa,South Africa,Away,Home,Second,First,2011,Sunday,33 runs,batting first
6703,2961,ODI # 3100,India,Bangladesh,Dhaka,2011-02-19,India,Bangladesh,Away,Home,First,Second,2011,Saturday,87 runs,batting first
6760,3018,ODI # 3159,India,West Indies,Port of Spain,2011-06-06,India,West Indies,Away,Home,Second,First,2011,Monday,4 wickets,batting second
6761,3019,ODI # 3160,India,West Indies,Port of Spain,2011-06-08,India,West Indies,Away,Home,Second,First,2011,Wednesday,7 wickets,batting second
6762,3020,ODI # 3161,India,West Indies,North Sound,2011-06-11,India,West Indies,Away,Home,Second,First,2011,Saturday,3 wickets,batting second
6763,3021,ODI # 3162,India,West Indies,North Sound,2011-06-13,West Indies,West Indies,Away,Home,Second,First,2011,Monday,103 runs,batting first
6764,3022,ODI # 3163,India,West Indies,Kingston,2011-06-16,West Indies,West Indies,Away,Home,First,Second,2011,Thursday,7 wickets,batting second
6787,3045,ODI # 3187,India,England,Southampton,2011-09-06,England,England,Away,Home,First,Second,2011,Tuesday,7 wickets,batting second
6789,3047,ODI # 3189,India,England,The Oval,2011-09-09,England,England,Away,Home,First,Second,2011,Friday,3 wickets,batting second
6794,3052,ODI # 3195,India,England,Cardiff,2011-09-16,England,England,Away,Home,First,Second,2011,Friday,6 wickets,batting second
6830,3088,ODI # 3231,India,Australia,Melbourne,2012-02-05,Australia,Australia,Away,Home,Second,First,2012,Sunday,65 runs,batting first
6836,3094,ODI # 3237,India,Australia,Adelaide,2012-02-12,India,Australia,Away,Home,Second,First,2012,Sunday,4 wickets,batting second
6842,3100,ODI # 3244,India,Australia,Brisbane,2012-02-19,Australia,Australia,Away,Home,Second,First,2012,Sunday,110 runs,batting first
6848,3106,ODI # 3250,India,Australia,Sydney,2012-02-26,Australia,Australia,Away,Home,Second,First,2012,Sunday,87 runs,batting first
6859,3117,ODI # 3261,India,Bangladesh,Dhaka,2012-03-16,Bangladesh,Bangladesh,Away,Home,First,Second,2012,Friday,5 wickets,batting second
6886,3144,ODI # 3291,India,Sri Lanka,Hambantota,2012-07-21,India,Sri Lanka,Away,Home,First,Second,2012,Saturday,21 runs,batting first
6887,3145,ODI # 3292,India,Sri Lanka,Hambantota,2012-07-24,Sri Lanka,Sri Lanka,Away,Home,First,Second,2012,Tuesday,9 wickets,batting second
6888,3146,ODI # 3293,India,Sri Lanka,Colombo,2012-07-28,India,Sri Lanka,Away,Home,Second,First,2012,Saturday,5 wickets,batting second
6889,3147,ODI # 3294,India,Sri Lanka,Colombo,2012-07-31,India,Sri Lanka,Away,Home,Second,First,2012,Tuesday,6 wickets,batting second
6965,3223,ODI # 3377,India,England,Birmingham,2013-06-23,India,England,Away,Home,First,Second,2013,Sunday,5 runs,batting first
6968,3226,ODI # 3380,India,West Indies,Kingston,2013-06-30,West Indies,West Indies,Away,Home,First,Second,2013,Sunday,1 wicket,batting first
6971,3229,ODI # 3383,India,West Indies,Port of Spain,2013-07-05,India,West Indies,Away,Home,First,Second,2013,Friday,102 runs,batting first
6981,3239,ODI # 3395,India,Zimbabwe,Harare,2013-07-24,India,Zimbabwe,Away,Home,Second,First,2013,Wednesday,6 wickets,batting second
6983,3241,ODI # 3397,India,Zimbabwe,Harare,2013-07-26,India,Zimbabwe,Away,Home,First,Second,2013,Friday,58 runs,batting first
6985,3243,ODI # 3399,India,Zimbabwe,Harare,2013-07-28,India,Zimbabwe,Away,Home,Second,First,2013,Sunday,7 wickets,batting second
6988,3246,ODI # 3402,India,Zimbabwe,Bulawayo,2013-08-01,India,Zimbabwe,Away,Home,Second,First,2013,Thursday,9 wickets,batting second
6989,3247,ODI # 3403,India,Zimbabwe,Bulawayo,2013-08-03,India,Zimbabwe,Away,Home,Second,First,2013,Saturday,7 wickets,batting second
7024,3282,ODI # 3442,India,South Africa,Johannesburg,2013-12-05,South Africa,South Africa,Away,Home,Second,First,2013,Thursday,141 runs,batting first
7025,3283,ODI # 3443,India,South Africa,Durban,2013-12-08,South Africa,South Africa,Away,Home,Second,First,2013,Sunday,134 runs,batting first
7037,3295,ODI # 3456,India,New Zealand,Napier,2014-01-19,New Zealand,New Zealand,Away,Home,Second,First,2014,Sunday,24 runs,batting first
7039,3297,ODI # 3458,India,New Zealand,Hamilton,2014-01-22,New Zealand,New Zealand,Away,Home,Second,First,2014,Wednesday,15 runs,batting first
7045,3303,ODI # 3465,India,New Zealand,Hamilton,2014-01-28,New Zealand,New Zealand,Away,Home,First,Second,2014,Tuesday,7 wickets,batting second
7047,3305,ODI # 3467,India,New Zealand,Wellington,2014-01-31,New Zealand,New Zealand,Away,Home,Second,First,2014,Friday,87 runs,batting first
7054,3312,ODI # 3474,India,Bangladesh,Fatullah,2014-02-26,India,Bangladesh,Away,Home,Second,First,2014,Wednesday,6 wickets,batting second
7063,3321,ODI # 3483,India,Afghanistan,Dhaka,2014-03-05,India,Bangladesh,Neutral,Neutral,Second,First,2014,Wednesday,8 wickets,batting second
7077,3335,ODI # 3497,India,Bangladesh,Dhaka,2014-06-15,India,Bangladesh,Away,Home,Second,First,2014,Sunday,7 wickets,batting second
7078,3336,ODI # 3498,India,Bangladesh,Dhaka,2014-06-17,India,Bangladesh,Away,Home,First,Second,2014,Tuesday,47 runs,batting first
7096,3354,ODI # 3517,India,England,Cardiff,2014-08-27,India,England,Away,Home,First,Second,2014,Wednesday,133 runs,batting first
7099,3357,ODI # 3520,India,England,Nottingham,2014-08-30,India,England,Away,Home,Second,First,2014,Saturday,6 wickets,batting second
7102,3360,ODI # 3523,India,England,Birmingham,2014-09-02,India,England,Away,Home,Second,First,2014,Tuesday,9 wickets,batting second
7104,3362,ODI # 3525,India,England,Leeds,2014-09-05,England,England,Away,Home,Second,First,2014,Friday,41 runs,batting first
7159,3417,ODI # 3582,India,Australia,Melbourne,2015-01-18,Australia,Australia,Away,Home,First,Second,2015,Sunday,4 wickets,batting second
7162,3420,ODI # 3586,India,England,Brisbane,2015-01-20,England,Australia,Neutral,Neutral,First,Second,2015,Tuesday,9 wickets,batting second
7170,3428,ODI # 3595,India,England,Perth,2015-01-30,England,Australia,Neutral,Neutral,First,Second,2015,Friday,3 wickets,batting second
7216,3474,ODI # 3641,India,Bangladesh,Melbourne,2015-03-19,India,Australia,Neutral,Neutral,First,Second,2015,Thursday,109 runs,batting first
7220,3478,ODI # 3645,India,Australia,Sydney,2015-03-26,Australia,Australia,Away,Home,Second,First,2015,Thursday,95 runs,batting first
7231,3489,ODI # 3658,India,Bangladesh,Dhaka,2015-06-18,Bangladesh,Bangladesh,Away,Home,Second,First,2015,Thursday,79 runs,batting first
7233,3491,ODI # 3660,India,Bangladesh,Dhaka,2015-06-21,Bangladesh,Bangladesh,Away,Home,First,Second,2015,Sunday,6 wickets,batting second
7234,3492,ODI # 3661,India,Bangladesh,Dhaka,2015-06-24,India,Bangladesh,Away,Home,First,Second,2015,Wednesday,77 runs,batting first
7235,3493,ODI # 3662,India,Zimbabwe,Harare,2015-07-10,India,Zimbabwe,Away,Home,First,Second,2015,Friday,4 runs,batting first
7238,3496,ODI # 3665,India,Zimbabwe,Harare,2015-07-12,India,Zimbabwe,Away,Home,First,Second,2015,Sunday,62 runs,batting first
7240,3498,ODI # 3667,India,Zimbabwe,Harare,2015-07-14,India,Zimbabwe,Away,Home,First,Second,2015,Tuesday,83 runs,batting first
7295,3553,ODI # 3723,India,Australia,Perth,2016-01-12,Australia,Australia,Away,Home,First,Second,2016,Tuesday,5 wickets,batting second
7296,3554,ODI # 3724,India,Australia,Brisbane,2016-01-15,Australia,Australia,Away,Home,First,Second,2016,Friday,7 wickets,batting second
7297,3555,ODI # 3725,India,Australia,Melbourne,2016-01-17,Australia,Australia,Away,Home,First,Second,2016,Sunday,3 wickets,batting second
7298,3556,ODI # 3726,India,Australia,Canberra,2016-01-20,Australia,Australia,Away,Home,Second,First,2016,Wednesday,25 runs,batting first
7299,3557,ODI # 3727,India,Australia,Sydney,2016-01-23,India,Australia,Away,Home,Second,First,2016,Saturday,6 wickets,batting second
7314,3572,ODI # 3742,India,Zimbabwe,Harare,2016-06-11,India,Zimbabwe,Away,Home,Second,First,2016,Saturday,9 wickets,batting second
7316,3574,ODI # 3744,India,Zimbabwe,Harare,2016-06-13,India,Zimbabwe,Away,Home,Second,First,2016,Monday,8 wickets,batting second
7318,3576,ODI # 3746,India,Zimbabwe,Harare,2016-06-15,India,Zimbabwe,Away,Home,Second,First,2016,Wednesday,10 wickets,batting second
7451,3709,ODI # 3891,India,Bangladesh,Birmingham,2017-06-15,India,England,Neutral,Neutral,Second,First,2017,Thursday,9 wickets,batting second
7455,3713,ODI # 3896,India,West Indies,Port of Spain,2017-06-25,India,West Indies,Away,Home,First,Second,2017,Sunday,105 runs,batting first
7457,3715,ODI # 3898,India,West Indies,North Sound,2017-06-30,India,West Indies,Away,Home,First,Second,2017,Friday,93 runs,batting first
7459,3717,ODI # 3900,India,West Indies,North Sound,2017-07-02,West Indies,West Indies,Away,Home,Second,First,2017,Sunday,11 runs,batting first
7461,3719,ODI # 3902,India,West Indies,Kingston,2017-07-06,India,West Indies,Away,Home,Second,First,2017,Thursday,8 wickets,batting second
7464,3722,ODI # 3905,India,Sri Lanka,Dambulla,2017-08-20,India,Sri Lanka,Away,Home,Second,First,2017,Sunday,9 wickets,batting second
7467,3725,ODI # 3908,India,Sri Lanka,Colombo,2017-08-31,India,Sri Lanka,Away,Home,First,Second,2017,Thursday,168 runs,batting first
7468,3726,ODI # 3909,India,Sri Lanka,Colombo,2017-09-03,India,Sri Lanka,Away,Home,Second,First,2017,Sunday,6 wickets,batting second
